Game Question No.,Question,Option A,Option B,Option C,Option D,Correct Answer,Solution,Category,Subcategory
4316,What is a canonical URL tag?,commonly placed in the root directory of a website and linked in the HTML <head> section,an HTML element that contains the visible content of a web page,modern websites often provide multiple favicon sizes and formats for different devices and browsers,an HTML tag used to indicate the preferred version of a web page when duplicate content exists,D,a canonical URL tag is: an HTML tag used to indicate the preferred version of a web page when duplicate content exists,Web Development,HTML
4317,"If A=1, B=2, C=3, ... Z=26, what is the sum of the letter values in the word 'PIG'?",30,35,32,28,C,P(16) + I(9) + G(7) = 32.,Puzzles,Coding-Decoding
4318,"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 2 pawns, 1 knight, 2 rooks, 1 queen?",24,23,21,28,A,Total value = 2×1 + 1×3 + 2×5 + 1×9 = 24.,Chess,Piece Values
4319,What is 5468 - 1138?,4330,4335,4310,4331,A,5468 - 1138 = 4330.,Math / Mathematics,Subtraction
4320,Which event happened closest to the year 1914?,The Crusades,World War I,The Great Depression,The storming of the Bastille,B,World War I occurred in approximately 1914.,History,Modern History
4321,"Which term matches this description: ""the contamination of air by harmful substances such as smoke, dust, and gases""?",air pollution,acid rain,deforestation,global warming,A,"The description matches air pollution: the contamination of air by harmful substances such as smoke, dust, and gases",Science,Environment
4322,'Leo' is the name of which type of celestial pattern?,A planet,A type of nebula,A constellation (a pattern of stars),A galaxy,C,Leo is a constellation — a recognisable pattern of stars.,Space,Constellations
4323,Which statement correctly describes Alur Venkata Rao?,"a prominent figure in the Karnataka unification movement, often referred to as 'Karnataka Kulapurohita' for his role in uniting Kannada-speaking regions","the movement advocating for the unification of Kannada-speaking regions into a single state, which led to the formation of Karnataka in 1956","widely believed to derive from 'karu nadu', meaning 'lofty/black land' or 'elevated land', referring to the region's terrain","a town in Karnataka renowned for the Chennakeshava Temple, built during the Hoysala period",A,"By definition, Alur Venkata Rao is: a prominent figure in the Karnataka unification movement, often referred to as 'Karnataka Kulapurohita' for his role in uniting Kannada-speaking regions",Kannada Subjects,Kannada History
4324,Choose the correct article to fill the blank: '___ factory',no article,the,an,a,D,"'factory' starts with a consonant sound, so the correct article is 'a'.",English Subjects,Articles
4325,"Which term matches this description: ""the percentage of a population that can read and write""?",multiculturalism,gender equality,literacy rate,social mobility,C,The description matches literacy rate: the percentage of a population that can read and write,Social Science,Society
4326,What is spyware?,designing software so it can be used effectively by people with a wide range of abilities and disabilities,"a fraudulent attempt to obtain sensitive information by disguising as a trustworthy entity, often via email",software that secretly monitors and collects user information without their knowledge,malicious software that encrypts a victim's files and demands payment for their release,C,spyware is: software that secretly monitors and collects user information without their knowledge,Software,Software Basics
4327,How many Gigabyte (GB)s is 29 Terabyte (TB)(s) equal to?,3.04087e+07,29,2969.6,29696,D,"1 Terabyte (TB) = 1024^1 Gigabyte (GB)(s) (relative scale), so 29 Terabyte (TB)(s) = 29696 Gigabyte (GB)(s).",Hardware,Storage Units
4328,"Which term matches this description: ""a software application that uses AI to simulate conversation with human users, often via text or voice""?",a chatbot,part-of-speech tagging,OpenAI,federated learning,A,"The description matches a chatbot: a software application that uses AI to simulate conversation with human users, often via text or voice",AI – Artificial Intelligence,AI Applications
4329,"Which term matches this description: ""a regularisation technique that halts training once model performance on a validation set stops improving""?",A/B testing (in ML),early stopping,standardisation (in ML),a feature (in ML),B,The description matches early stopping: a regularisation technique that halts training once model performance on a validation set stops improving,ML – Machine Learning,ML Basics
4330,"Which term matches this description: ""a device invented by Johannes Gutenberg around 1440 that enabled mass production of books""?",International Yoga Day,the national anthem of India,the Pyramids of Giza,the printing press,D,The description matches the printing press: a device invented by Johannes Gutenberg around 1440 that enabled mass production of books,General Knowledge (GK),Inventions
4331,A team needs 133 runs to win from 14.1 overs remaining. What is the required run rate (runs per over)?,10.43,9.43,8.43,7.93,B,Required run rate = Runs needed / Overs remaining = 133 / 14.1 ≈ 9.43.,Cricket,Scoring Calculations
4332,"Find the average of these numbers: 66, 55, 26.",50,49,46,47,B,"Sum = 147, Count = 3, Average = 147/3 = 49.",Aptitude,Averages
4333,"Fill in the blank: ______ refers to ""a stylesheet used to remove browser default styling inconsistencies before applying custom styles"".",a breakpoint (in responsive design),the :focus pseudo-class,CSS variables (custom properties),a CSS reset stylesheet,D,a CSS reset stylesheet refers to: a stylesheet used to remove browser default styling inconsistencies before applying custom styles,Web Development,CSS
4334,"Find the next letter in the series: C, E, G, I, ?",Y,K,P,W,B,"The letters advance by 2 position(s) each time. After I, the next letter is K.",Puzzles,Letter Series
4335,"Using standard piece values (pawn=1, knight=3, bishop=3, rook=5, queen=9), what is the total material value of: 6 pawns, 2 knights, 2 bishops, 1 queen?",31,29,28,27,D,Total value = 6×1 + 2×3 + 2×3 + 1×9 = 27.,Chess,Piece Values
4336,Which symbol correctly compares -281 and 485? (-281 ___ 485),=,<,>,≥,B,-281 < 485.,Math / Mathematics,Comparison
4337,"Which historical event is described as: ""a period of radical political and social upheaval in France that overthrew the monarchy""?",The founding of the United States,The French Revolution,The fall of the Berlin Wall,The English Civil War,B,This describes The French Revolution: a period of radical political and social upheaval in France that overthrew the monarchy.,History,Modern History
4338,What is the atomic number of Barium?,59,56,58,54,B,Barium has the atomic number 56.,Science,Periodic Table
4339,What is the term 'zenith'?,a mysterious form of energy thought to be responsible for the accelerating expansion of the universe,the point in the sky directly above an observer,"a planetary-mass object that does not orbit any star, drifting freely through space",a planet that orbits a star outside our solar system,B,the term 'zenith' is: the point in the sky directly above an observer,Space,Astronomy
4340,"Fill in the blank: ______ refers to ""meaning 'your' (formal/plural), used as a possessive pronoun in Kannada"".",the Kannada word 'avara',the Kannada word 'nimma',a Kannada pronoun (sarvanaama),the honorific suffix '-avaru' in Kannada,B,"the Kannada word 'nimma' refers to: meaning 'your' (formal/plural), used as a possessive pronoun in Kannada",Kannada Subjects,Kannada Grammar
4341,Which word is opposite in meaning to 'disagree'?,brave,win,agree,safe,C,'agree' is opposite in meaning to 'disagree'.,English Subjects,Antonyms
4342,"Fill in the blank: ______ refers to ""the first hour of a parliamentary sitting, during which members ask questions to ministers about government policy"".",the Gram Sabha,the Supreme Court of India,the rule of law,Question Hour,D,"Question Hour refers to: the first hour of a parliamentary sitting, during which members ask questions to ministers about government policy",Social Science,Civics
